longitude,latitude,name,address
-81.94092347,34.95867481,Spartanburg City FD Station 3,"510 Magnolia St, Spartanburg, SC 29303"
-81.97953678,34.9343232,Spartanburg City FD Station 4,"200 Camelot Dr, Spartanburg, SC 29301"
-81.88909673,34.96545677,Spartanburg City FD Station 5,"1075 Fernwood Glendale Rd, Spartanburg, SC 29307"
-82.09247671,34.9365773,Startex FD,"170 Spartanburg Rd, Startex, SC 29377"
-82.315015,34.918707,Taylors FD Station 1,"3335 Wade Hampton Blvd., Taylors, SC 29687"
-82.313797,34.899294,Taylors FD Station 2,"405 Brushy Creek Road, Taylors, SC 29687"
-82.300333,34.952473,Taylors FD Station 3,"858 Saint Mark Road, Taylors, SC 29687"
-82.377119,35.065481,Tigerville FD,"2605 Hwy 414, Travelers Rest, SC 29690"
-82.437093,34.970894,Travelers Rest FD,"117 N Poinsett Hwy, Travelers Rest, SC 29690"
-82.17377398,34.95733475,Tyger River FD Station 1,"1090 Gap Creek Rd, Lyman, SC 29365"
-82.13020856,34.95044247,Tyger River FD Station 2,"355 Locust St, Lyman, SC 29365"
-81.96511245,34.96468713,Una FD,"1025 Hayne St, Spartanburg, SC 29301"
-82.335239,34.902501,Wade Hampton FD Station 1,"2815 Wade Hampton Blvd, Taylors, SC 29687"
-82.313974,34.855461,Wade Hampton FD Station 2,"1118 Pelham Rd., Greenville, SC 29615"
-82.358687,34.884307,Wade Hampton FD Station 3,"15222 Pine Knoll Dr, Greenville, SC 29609"
-82.317681,34.878899,Wade Hampton FD Station 4,"4211 East North Street, Greenville, S.C. 29615"
-82.00359193,34.93674099,Westview-Fairforest FD Station 1,"311 N Blackstock Rd, Spartanburg, SC 29301"
-82.00501961,34.90697299,Westview-Fairforest FD Station 2,"4247 Anderson Mill Rd, Moore, SC 29369"
-82.02143007,34.96362911,Westview-Fairforest FD Station 3,"870 Falling Creek Rd, Spartanburg, SC 29301"
-81.92000688,34.99412741,Whitney FD,"220 Bryant Rd, Spartanburg, SC 29303"
-82.02954135,34.74386049,Woodruff FD Station 1,"220 Armory Dr, Woodruff, SC 29388"
-82.11181118,34.77104359,Woodruff FD Station 2,"707 River Rd, Woodruff, SC 29388"
